winner_pp,winner,placer_pp,placer,payout,market_prob_pct,fair_card_pct,fair_rank_pct,fair_avg_pct,overlay_card,overlay_rank,overlay_avg,ev_per_1
4,Litmus Test,18,Further Ado,588.3,0.133,1.008,0.661,0.835,7.601,4.989,6.295,3.91
18,Further Ado,4,Litmus Test,483.02,0.161,1.164,0.707,0.935,7.211,4.376,5.793,3.519
1,Renegade,4,Litmus Test,219.42,0.355,1.118,2.943,2.03,3.144,8.278,5.711,3.455
3,Intrepido,18,Further Ado,996.54,0.078,0.599,0.265,0.432,7.651,3.38,5.515,3.302
18,Further Ado,3,Intrepido,764.13,0.102,0.707,0.292,0.5,6.927,2.862,4.894,2.818
4,Litmus Test,1,Renegade,253.8,0.307,0.974,2.021,1.497,3.17,6.575,4.873,2.801
1,Renegade,3,Intrepido,346.5,0.225,0.679,1.217,0.948,3.015,5.404,4.21,2.283
4,Litmus Test,19,Golden Tempo,1413.75,0.055,0.328,0.112,0.22,5.948,2.032,3.99,2.112
19,Golden Tempo,4,Litmus Test,1372.29,0.057,0.33,0.108,0.219,5.809,1.902,3.856,2.007
3,Intrepido,1,Renegade,419.54,0.186,0.579,0.808,0.694,3.114,4.346,3.73,1.91
3,Intrepido,19,Golden Tempo,2321.2,0.034,0.195,0.045,0.12,5.803,1.334,3.569,1.784
19,Golden Tempo,3,Intrepido,2210.63,0.035,0.201,0.045,0.123,5.683,1.267,3.475,1.71
4,Litmus Test,6,Commandment,335.51,0.232,0.613,0.856,0.735,2.637,3.684,3.16,1.465
4,Litmus Test,8,So Happy,429.94,0.181,0.424,0.71,0.567,2.336,3.914,3.125,1.437
8,So Happy,4,Litmus Test,393.25,0.198,0.434,0.766,0.6,2.19,3.861,3.025,1.36
6,Commandment,4,Litmus Test,291.97,0.267,0.652,0.951,0.802,2.441,3.561,3.001,1.34
1,Renegade,16,Pavlovian,478.65,0.163,0.492,0.407,0.449,3.017,2.495,2.756,1.15
16,Pavlovian,1,Renegade,620.25,0.126,0.416,0.266,0.341,3.305,2.115,2.71,1.114
22,Ocelli,18,Further Ado,1854.6,0.042,0.207,0.015,0.111,4.915,0.358,2.636,1.056
22,Ocelli,4,Litmus Test,5961.31,0.013,0.061,0.007,0.034,4.638,0.545,2.592,1.022
2,Albus,18,Further Ado,790.71,0.099,0.354,0.155,0.255,3.59,1.571,2.581,1.013
16,Pavlovian,4,Litmus Test,2398.89,0.033,0.126,0.041,0.084,3.882,1.27,2.576,1.009
4,Litmus Test,16,Pavlovian,2281.16,0.034,0.13,0.043,0.087,3.807,1.268,2.537,0.979
4,Litmus Test,15,Emerging Market,671.75,0.116,0.371,0.218,0.295,3.194,1.881,2.537,0.979
1,Renegade,8,So Happy,47.78,1.632,1.601,6.659,4.13,0.981,4.079,2.53,0.973
3,Intrepido,14,Potente,2101.9,0.037,0.13,0.056,0.093,3.513,1.507,2.51,0.958
4,Litmus Test,22,Ocelli,5415.59,0.014,0.063,0.008,0.035,4.399,0.523,2.461,0.92
3,Intrepido,6,Commandment,542.43,0.144,0.364,0.342,0.353,2.533,2.382,2.457,0.917
22,Ocelli,1,Renegade,1542.73,0.051,0.2,0.046,0.123,3.953,0.909,2.431,0.896
6,Commandment,3,Intrepido,461.64,0.169,0.396,0.393,0.395,2.343,2.327,2.335,0.822
3,Intrepido,8,So Happy,675.42,0.115,0.252,0.284,0.268,2.181,2.459,2.32,0.809
18,Further Ado,22,Ocelli,1355.02,0.058,0.249,0.017,0.133,4.331,0.295,2.313,0.804
3,Intrepido,15,Emerging Market,1161.04,0.067,0.22,0.087,0.154,3.28,1.3,2.29,0.786
8,So Happy,3,Intrepido,606.9,0.129,0.264,0.317,0.29,2.052,2.463,2.258,0.761
3,Intrepido,12,Chief Wallabee,1128.31,0.069,0.216,0.096,0.156,3.125,1.384,2.255,0.759
1,Renegade,18,Further Ado,35.0,2.229,3.806,6.204,5.005,1.708,2.784,2.246,0.752
4,Litmus Test,3,Intrepido,1123.99,0.069,0.18,0.13,0.155,2.589,1.869,2.229,0.739
18,Further Ado,2,Albus,581.18,0.134,0.424,0.173,0.298,3.157,1.287,2.222,0.733
3,Intrepido,4,Litmus Test,1138.94,0.068,0.176,0.125,0.151,2.568,1.832,2.2,0.716
1,Renegade,14,Potente,159.62,0.489,0.829,1.311,1.07,1.696,2.683,2.189,0.708
14,Potente,3,Intrepido,1803.79,0.043,0.131,0.056,0.094,3.037,1.295,2.166,0.69
1,Renegade,22,Ocelli,1082.52,0.072,0.239,0.071,0.155,3.321,0.981,2.151,0.678
1,Renegade,2,Albus,297.51,0.262,0.407,0.72,0.563,1.551,2.745,2.148,0.675
15,Emerging Market,4,Litmus Test,565.56,0.138,0.376,0.215,0.295,2.728,1.556,2.142,0.671
19,Golden Tempo,18,Further Ado,241.33,0.323,1.125,0.228,0.676,3.479,0.705,2.092,0.632
8,So Happy,1,Renegade,50.23,1.553,1.43,4.931,3.181,0.921,3.176,2.048,0.598
4,Litmus Test,12,Chief Wallabee,529.87,0.147,0.364,0.239,0.301,2.469,1.626,2.048,0.597
16,Pavlovian,18,Further Ado,602.21,0.13,0.43,0.087,0.258,3.319,0.672,1.996,0.557
3,Intrepido,16,Pavlovian,3259.31,0.024,0.077,0.017,0.047,3.232,0.724,1.978,0.543
23,Robusta,18,Further Ado,1980.34,0.039,0.14,0.014,0.077,3.565,0.365,1.965,0.533
16,Pavlovian,3,Intrepido,3259.01,0.024,0.077,0.017,0.047,3.202,0.713,1.958,0.527
18,Further Ado,19,Golden Tempo,192.06,0.406,1.291,0.252,0.772,3.18,0.622,1.901,0.483
23,Robusta,4,Litmus Test,6123.1,0.013,0.041,0.007,0.024,3.237,0.535,1.886,0.471
2,Albus,1,Renegade,359.09,0.217,0.342,0.474,0.408,1.576,2.18,1.878,0.465
18,Further Ado,1,Renegade,34.47,2.263,3.834,4.55,4.192,1.694,2.011,1.853,0.445
