# Race 12 Exacta Probables $1
# Pool Total: $10,713,636
# As of: 2026-05-02T16:00 ET (~2.5h to post)
# Layout: 24x24 grid. Row = winner PP, Col = placer PP. SC = scratched.
# Header row gives column PPs 1..24.
PP, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
1, -, 297.51, 346.50, 219.42, SC, 23.03, 91.93, 47.78, SC, 180.68, 202.29, 47.28, SC, 159.62, 45.81, 478.65, 563.25, 35.00, 118.12, SC, 452.92, 1082.52, 1095.51, SC
2, 359.09, -, 819.85, 778.40, SC, 407.12, 744.97, 545.40, SC, 1613.84, 1154.08, 803.05, SC, 2042.88, 1072.55, 2823.58, 3385.85, 790.71, 1707.13, SC, 3204.99, 4507.61, 5969.39, SC
3, 419.54, 825.89, -, 1138.94, SC, 542.43, 877.83, 675.42, SC, 1782.49, 1768.43, 1128.31, SC, 2101.90, 1161.04, 3259.31, 3349.10, 996.54, 2321.20, SC, 3429.44, 5288.43, 5638.10, SC
4, 253.80, 779.39, 1123.99, -, SC, 335.51, 564.83, 429.94, SC, 1128.18, 1222.00, 529.87, SC, 547.70, 671.75, 2281.16, 2109.88, 588.30, 1413.75, SC, 2154.70, 5415.59, 5254.92, SC
5, SC, SC, SC, SC, -, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC
6, 23.05, 346.74, 461.64, 291.97, SC, -, 84.44, 41.82, SC, 234.46, 169.84, 30.77, SC, 148.88, 44.60, 495.59, 619.69, 26.75, 190.71, SC, 552.99, 1247.43, 1323.59, SC
7, 97.57, 682.19, 781.36, 538.29, SC, 96.20, -, 160.34, SC, 257.92, 380.60, 123.10, SC, 412.66, 138.98, 1352.11, 1066.19, 152.08, 521.18, SC, 1160.15, 2651.92, 2831.66, SC
8, 50.23, 492.55, 606.90, 393.25, SC, 45.29, 159.78, -, SC, 336.37, 293.33, 82.28, SC, 221.12, 98.81, 659.10, 748.67, 63.15, 320.96, SC, 514.58, 1831.00, 1721.81, SC
9, SC, SC, SC, SC, SC, SC, SC, SC, -, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC
10, 197.68, 1495.74, 1627.47, 1064.81, SC, 269.19, 266.73, 358.91, SC, -, 899.32, 385.34, SC, 854.42, 408.39, 2013.04, 1397.56, 357.37, 1058.12, SC, 1985.93, 4064.13, 3658.87, SC
11, 237.62, 1127.97, 1669.19, 1193.27, SC, 203.79, 416.67, 325.03, SC, 929.00, -, 159.30, SC, 621.79, 256.43, 1477.86, 1671.33, 238.36, 682.26, SC, 1664.81, 3967.38, 4157.64, SC
12, 47.85, 601.32, 762.59, 430.79, SC, 32.62, 130.38, 79.71, SC, 322.52, 134.30, -, SC, 187.28, 53.30, 639.49, 716.94, 40.60, 227.84, SC, 577.43, 1358.73, 1431.60, SC
13, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, -, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC
14, 180.45, 1917.69, 1803.79, 537.58, SC, 172.51, 450.70, 243.73, SC, 856.70, 611.70, 214.14, SC, -, 211.98, 1209.76, 1408.17, 184.25, 587.74, SC, 1519.51, 3607.38, 3282.29, SC
15, 45.92, 829.65, 889.08, 565.56, SC, 46.74, 131.05, 96.47, SC, 341.67, 231.17, 55.34, SC, 192.73, -, 526.49, 887.27, 52.33, 137.96, SC, 740.74, 1849.79, 1879.35, SC
16, 620.25, 2983.16, 3259.01, 2398.89, SC, 654.59, 1685.54, 790.54, SC, 2361.59, 1634.61, 920.27, SC, 1378.72, 648.33, -, 2730.69, 602.21, 1519.89, SC, 2252.35, 5465.18, 4202.84, SC
17, 690.99, 3267.00, 3312.63, 2177.09, SC, 773.52, 1275.67, 866.29, SC, 1571.69, 1813.68, 1005.10, SC, 1498.62, 1060.19, 2677.92, -, 880.41, 1659.37, SC, 1976.80, 5823.01, 6036.62, SC
18, 34.47, 581.18, 764.13, 483.02, SC, 26.95, 135.33, 58.97, SC, 308.48, 200.00, 39.09, SC, 156.87, 48.92, 463.03, 714.17, -, 192.06, SC, 584.75, 1355.02, 1433.04, SC
19, 133.22, 1602.54, 2210.63, 1372.29, SC, 240.30, 590.84, 374.61, SC, 1107.24, 714.16, 289.70, SC, 628.18, 153.63, 1442.87, 1605.61, 241.33, -, SC, 1325.72, 3011.57, 3565.23, SC
20, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, -, SC, SC, SC, SC
21, 537.51, 3191.53, 3224.29, 2210.86, SC, 694.60, 1366.99, 583.46, SC, 2078.10, 1742.28, 764.35, SC, 1659.19, 879.05, 2169.33, 1970.40, 723.15, 1368.47, SC, -, 3379.83, 3760.45, SC
22, 1542.73, 4910.94, 5756.46, 5961.31, SC, 1826.38, 3942.21, 2427.21, SC, 5310.66, 4562.96, 2559.49, SC, 4446.54, 2706.11, 5397.97, 5931.58, 1854.60, 3107.15, SC, 3472.15, -, 2194.22, SC
23, 1537.65, 6326.41, 5864.66, 6123.10, SC, 1885.88, 4123.68, 2265.37, SC, 5320.07, 4723.26, 2649.33, SC, 3967.99, 2743.65, 4266.64, 5984.74, 1980.34, 3640.05, SC, 3959.62, 2178.50, -, SC
24, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, SC, -
