winner_pp,winner,placer_pp,placer,payout,market_prob_pct,fair_card_pct,fair_rank_pct,fair_avg_pct,overlay_card,overlay_rank,overlay_avg,ev_per_1
4,Litmus Test,18,Further Ado,588.3,0.133,1.017,0.741,0.879,7.671,5.591,6.631,4.172
18,Further Ado,4,Litmus Test,483.02,0.161,1.167,0.791,0.979,7.225,4.895,6.06,3.727
3,Intrepido,18,Further Ado,996.54,0.078,0.604,0.296,0.45,7.716,3.776,5.746,3.482
18,Further Ado,3,Intrepido,764.13,0.102,0.709,0.327,0.518,6.941,3.202,5.071,2.956
4,Litmus Test,19,Golden Tempo,1413.75,0.055,0.331,0.126,0.228,6.003,2.277,4.14,2.229
4,Litmus Test,6,Commandment,335.51,0.232,0.728,1.129,0.928,3.13,4.857,3.994,2.115
19,Golden Tempo,4,Litmus Test,1372.29,0.057,0.332,0.121,0.226,5.843,2.122,3.982,2.106
4,Litmus Test,8,So Happy,429.94,0.181,0.503,0.936,0.72,2.774,5.16,3.967,2.094
8,So Happy,4,Litmus Test,393.25,0.198,0.521,1.035,0.778,2.627,5.216,3.922,2.059
6,Commandment,4,Litmus Test,291.97,0.267,0.787,1.295,1.041,2.946,4.846,3.896,2.039
1,Renegade,4,Litmus Test,219.42,0.355,0.746,2.016,1.381,2.098,5.671,3.884,2.03
4,Litmus Test,1,Renegade,253.8,0.307,0.694,1.598,1.146,2.259,5.201,3.73,1.909
3,Intrepido,19,Golden Tempo,2321.2,0.034,0.197,0.05,0.123,5.853,1.491,3.672,1.864
19,Golden Tempo,3,Intrepido,2210.63,0.035,0.202,0.05,0.126,5.716,1.413,3.565,1.78
4,Litmus Test,15,Emerging Market,671.75,0.116,0.44,0.288,0.364,3.792,2.479,3.136,1.446
3,Intrepido,14,Potente,2101.9,0.037,0.155,0.073,0.114,4.168,1.98,3.074,1.398
3,Intrepido,6,Commandment,542.43,0.144,0.432,0.45,0.441,3.005,3.131,3.068,1.393
6,Commandment,3,Intrepido,461.64,0.169,0.478,0.535,0.507,2.829,3.168,2.998,1.339
3,Intrepido,8,So Happy,675.42,0.115,0.299,0.373,0.336,2.587,3.232,2.91,1.269
8,So Happy,3,Intrepido,606.9,0.129,0.316,0.428,0.372,2.462,3.328,2.895,1.258
1,Renegade,3,Intrepido,346.5,0.225,0.453,0.833,0.643,2.012,3.702,2.857,1.228
3,Intrepido,1,Renegade,419.54,0.186,0.412,0.637,0.525,2.217,3.428,2.822,1.201
16,Pavlovian,4,Litmus Test,2398.89,0.033,0.135,0.049,0.092,4.144,1.501,2.822,1.201
3,Intrepido,15,Emerging Market,1161.04,0.067,0.261,0.115,0.188,3.892,1.708,2.8,1.184
4,Litmus Test,16,Pavlovian,2281.16,0.034,0.139,0.051,0.095,4.068,1.505,2.786,1.173
3,Intrepido,12,Chief Wallabee,1128.31,0.069,0.256,0.126,0.191,3.707,1.82,2.764,1.156
2,Albus,18,Further Ado,790.71,0.099,0.357,0.173,0.265,3.619,1.754,2.686,1.095
14,Potente,3,Intrepido,1803.79,0.043,0.157,0.074,0.115,3.621,1.708,2.665,1.078
15,Emerging Market,4,Litmus Test,565.56,0.138,0.451,0.284,0.367,3.267,2.058,2.662,1.077
4,Litmus Test,12,Chief Wallabee,529.87,0.147,0.432,0.316,0.374,2.932,2.143,2.538,0.979
4,Litmus Test,3,Intrepido,1123.99,0.069,0.192,0.154,0.173,2.767,2.218,2.492,0.944
3,Intrepido,4,Litmus Test,1138.94,0.068,0.188,0.148,0.168,2.742,2.167,2.455,0.915
18,Further Ado,2,Albus,581.18,0.134,0.425,0.193,0.309,3.163,1.44,2.302,0.795
4,Litmus Test,11,Incredibolt,1222.0,0.064,0.188,0.103,0.145,2.94,1.618,2.279,0.778
23,Robusta,4,Litmus Test,6123.1,0.013,0.049,0.009,0.029,3.84,0.702,2.271,0.771
15,Emerging Market,3,Intrepido,889.08,0.088,0.274,0.117,0.195,3.119,1.337,2.228,0.738
23,Robusta,18,Further Ado,1980.34,0.039,0.157,0.018,0.088,3.995,0.452,2.224,0.734
11,Incredibolt,4,Litmus Test,1193.27,0.065,0.183,0.099,0.141,2.805,1.511,2.158,0.684
3,Intrepido,16,Pavlovian,3259.31,0.024,0.083,0.021,0.052,3.451,0.857,2.154,0.68
16,Pavlovian,3,Intrepido,3259.01,0.024,0.082,0.02,0.051,3.419,0.843,2.131,0.662
12,Chief Wallabee,4,Litmus Test,430.79,0.181,0.441,0.313,0.377,2.435,1.726,2.081,0.623
16,Pavlovian,18,Further Ado,602.21,0.13,0.433,0.097,0.265,3.346,0.75,2.048,0.597
4,Litmus Test,23,Robusta,5254.92,0.015,0.051,0.009,0.03,3.456,0.639,2.047,0.597
19,Golden Tempo,18,Further Ado,241.33,0.323,1.068,0.24,0.654,3.305,0.743,2.024,0.579
16,Pavlovian,1,Renegade,620.25,0.126,0.296,0.21,0.253,2.352,1.666,2.009,0.567
19,Golden Tempo,8,So Happy,374.61,0.208,0.529,0.303,0.416,2.538,1.456,1.997,0.558
12,Chief Wallabee,3,Intrepido,762.59,0.102,0.268,0.129,0.198,2.618,1.263,1.941,0.514
18,Further Ado,23,Robusta,1433.04,0.054,0.189,0.02,0.105,3.477,0.37,1.924,0.5
16,Pavlovian,6,Commandment,654.59,0.119,0.31,0.148,0.229,2.602,1.242,1.922,0.499
1,Renegade,8,So Happy,47.78,1.632,1.187,5.069,3.128,0.727,3.105,1.916,0.494
1,Renegade,16,Pavlovian,478.65,0.163,0.328,0.279,0.303,2.013,1.709,1.861,0.452
18,Further Ado,16,Pavlovian,463.03,0.168,0.513,0.109,0.311,3.047,0.648,1.848,0.441
8,So Happy,19,Golden Tempo,320.96,0.243,0.546,0.349,0.447,2.246,1.437,1.841,0.436
18,Further Ado,19,Golden Tempo,192.06,0.406,1.222,0.267,0.744,3.009,0.657,1.833,0.43
8,So Happy,1,Renegade,50.23,1.553,1.144,4.442,2.793,0.737,2.86,1.799,0.403
2,Albus,14,Potente,2042.88,0.038,0.091,0.043,0.067,2.394,1.127,1.761,0.373
19,Golden Tempo,6,Commandment,240.3,0.325,0.764,0.366,0.565,2.355,1.127,1.741,0.358
3,Intrepido,11,Incredibolt,1768.43,0.044,0.111,0.041,0.076,2.527,0.934,1.73,0.35
16,Pavlovian,8,So Happy,790.54,0.099,0.214,0.123,0.169,2.173,1.244,1.708,0.332
14,Potente,2,Albus,1917.69,0.041,0.094,0.044,0.069,2.307,1.074,1.69,0.318
23,Robusta,6,Commandment,1885.88,0.041,0.113,0.027,0.07,2.722,0.656,1.689,0.317
6,Commandment,16,Pavlovian,495.59,0.157,0.346,0.179,0.263,2.2,1.137,1.668,0.301
1,Renegade,14,Potente,159.62,0.489,0.614,0.998,0.806,1.257,2.043,1.65,0.287
17,Six Speed,18,Further Ado,880.41,0.089,0.255,0.034,0.144,2.875,0.385,1.63,0.272
11,Incredibolt,3,Intrepido,1669.19,0.047,0.111,0.041,0.076,2.383,0.874,1.629,0.27
