pp,horse,ml,score,score_prob,score_odds,score_mkt,score_overlay,score_bet,score_rank,score_rank_prob,score_rank_odds,score_rank_mkt,score_rank_overlay,score_rank_bet
1,Renegade,4-1,82.32,0.11296957579322758,7.851940825469126,0.11191320993955713,1.0094391524846886,,90.11111111111111,0.2797459080334936,2.574672484146833,0.11191320993955713,2.499668342857655,YES
2,Albus,30-1,59.699999999999996,0.031065057976202202,31.1905080868049,0.017408721546153333,1.7844537230286392,,51.5,0.023185184942621756,42.13099086657193,0.017408721546153333,1.3318143369203812,
3,Intrepido,50-1,59.78,0.03125200861512464,30.9979433103075,0.016320676449518748,1.9148721385286809,,53.5,0.026937341790326152,36.123187869974764,0.016320676449518748,1.6505040016966,
4,Litmus Test,50-1,66.42999999999999,0.051461484279468665,18.432008501141603,0.030130479599111536,1.7079543692688557,YES,65.27777777777777,0.06516006804227457,14.346822525587598,0.030130479599111536,2.1625964441732934,YES
6,Commandment,6-1,76.14,0.1184444607979588,7.442775569773487,0.13056541159614998,0.9071656830854842,,76.16666666666667,0.16383732425913328,5.103615305742848,0.13056541159614998,1.2548294548781125,YES
7,Danon Bourbon (JPN),20-1,53.98,0.022475912168653897,43.49207633915981,0.05222616463845999,0.4303573184867257,,44.5,0.015239245029605122,64.62004863477885,0.05222616463845999,0.2917933019799573,
8,So Happy,15-1,71.22,0.08189550992279414,11.21068164717133,0.13056541159614998,0.6272374047738154,,72.83333333333333,0.12759663642933658,6.837197186258144,0.13056541159614998,0.9772621620801374,
10,Wonder Dean (JPN),30-1,56.73,0.027624254290337266,35.20007220791447,0.030130479599111536,0.9168209287698105,,42.05555555555556,0.012686528430434293,77.82377007101914,0.030130479599111536,0.4210529868501789,
11,Incredibolt,20-1,58.07,0.030544791053271216,31.73880637310512,0.030130479599111536,1.0137505761498697,,43.44444444444444,0.014079324076186752,70.02613695009428,0.030130479599111536,0.4672784590060728,
12,Chief Wallabee,8-1,69.174,0.0702453536251093,13.235817009860545,0.09792405869711249,0.7173452015748673,,61.666666666666664,0.055222695011023816,17.10849687434442,0.09792405869711249,0.5639338865827891,
14,Potente,20-1,62.44,0.04239134294046043,22.58972211388825,0.04123118260931052,1.0281379348766952,,52.833333333333336,0.028470657920878852,34.12388097173735,0.04123118260931052,0.690512765317816,
15,Emerging Market,15-1,69.44,0.07166082076837381,12.95462666039309,0.07833924695769,0.9147499312455337,,57.111111111111114,0.039240420220575584,24.48392688913289,0.07833924695769,0.5009037199677043,
16,Pavlovian,30-1,64.48,0.044459721737501796,21.492268527998895,0.016320676449518748,2.7241347425163123,YES,48.88888888888889,0.019061682368442093,51.46126656981588,0.016320676449518748,1.1679468328044804,
17,Six Speed,50-1,49.29,0.013439192291908585,73.40923370090299,0.021760901932691663,0.6175843415625492,,24.944444444444446,0.002988251441386321,333.6438610052426,0.021760901932691663,0.13732203980465696,
18,Further Ado,6-1,82.77,0.16553377225463636,5.041063321276371,0.11191320993955713,1.4791263010330864,YES,71.88888888888889,0.10104053242342285,8.89701831547538,0.11191320993955713,0.9028472374082875,
19,Golden Tempo,30-1,67.81,0.053902412512663575,17.55204532385382,0.030130479599111536,1.7889662969139397,YES,50.72222222222222,0.020656328708901082,47.41131326347876,0.030130479599111536,0.685562559366303,
21A,Great White,50-1,43.24,0.010043685870408473,98.56504145019923,0.032641352899037496,0.30769821034913764,,18.72222222222222,0.0022045880740527526,452.59947818354726,0.032641352899037496,0.06753972731680984,
22A,Ocelli,50-1,45.879999999999995,0.012242875371385714,80.68015843216206,0.010173928176323377,1.203357755156672,,12.222222222222223,0.0013539695386845674,737.5690530169074,0.010173928176323377,0.1330822780757885,
23,Robusta,50-1,40.774,0.008347767730513541,118.79250409001038,0.010173928176323377,0.8205058641892469,,11.61111111111111,0.0012933132592199493,772.2078774195367,0.010173928176323377,0.12712034494500657,
