kind,label,winner_pp,placer_pp,fair_p,gross_payout,ev_per_dollar,full_kelly,stake_pct,stake,potential_payout
WIN,WIN #18 Further Ado,18,,0.1655,8.9355,0.4791,0.0604,0.0604,5.1321,45.8578
WIN,WIN #16 Pavlovian,16,,0.0445,61.272,1.7241,0.0286,0.0286,2.4315,148.983
WIN,WIN #19 Golden Tempo,19,,0.0539,33.189,0.789,0.0245,0.0245,2.0834,69.1455
WIN,WIN #4 Litmus Test,4,,0.0515,33.189,0.708,0.022,0.022,1.8695,62.0456
WIN,WIN #3 Intrepido,3,,0.0313,61.272,0.9149,0.0152,0.0152,1.2902,79.0544
WIN,WIN #2 Albus,2,,0.0311,57.4425,0.7845,0.0139,0.0139,1.1814,67.8599
EXA,EXA #18-4 (Further Ad > Litmus Tes),18,4,0.0102,483.02,3.9309,0.0082,0.0082,0.6932,334.8188
EXA,EXA #4-18 (Litmus Tes > Further Ad),4,18,0.009,588.3,4.2834,0.0073,0.0073,0.6199,364.7082
EXA,EXA #18-16 (Further Ad > Pavlovian),18,16,0.0088,463.03,3.0837,0.0067,0.0067,0.5673,262.6817
EXA,EXA #16-18 (Pavlovian > Further Ad),16,18,0.0077,602.21,3.6382,0.0061,0.0061,0.5144,309.764
