winner_pp,placer_pp,show_pp,winner,placer,show,our_prob_pct,mkt_prob_pct,payout_per_1,payout_source,overlay,ev_per_1
18,19,3,Further Ado,Golden Tempo,Intrepido,0.0529,0.0072,10799.1515,synth,7.3253,4.7138
18,3,19,Further Ado,Intrepido,Golden Tempo,0.0513,0.0071,10972.9764,synth,7.2168,4.6291
18,4,3,Further Ado,Litmus Test,Intrepido,0.0503,0.0072,10799.1515,synth,6.97,4.4366
18,19,4,Further Ado,Golden Tempo,Litmus Test,0.0871,0.0133,5849.5404,synth,6.5338,4.0963
18,4,19,Further Ado,Litmus Test,Golden Tempo,0.0868,0.0133,5849.5404,synth,6.5117,4.0792
19,18,4,Golden Tempo,Further Ado,Litmus Test,0.0762,0.0122,6388.2168,synth,6.2378,3.8655
4,18,19,Litmus Test,Further Ado,Golden Tempo,0.0757,0.0122,6388.2168,synth,6.1997,3.8358
19,4,18,Golden Tempo,Litmus Test,Further Ado,0.0658,0.0111,6997.159,synth,5.9,3.602
4,19,18,Litmus Test,Golden Tempo,Further Ado,0.0656,0.0111,6997.159,synth,5.8838,3.5894
18,1,3,Further Ado,Renegade,Intrepido,0.1208,0.0297,2630.3165,synth,4.0726,2.1767
18,3,1,Further Ado,Intrepido,Renegade,0.1075,0.0264,2954.2629,synth,4.0721,2.1763
18,19,14,Further Ado,Golden Tempo,Potente,0.0718,0.0182,4274.6641,synth,3.9331,2.0678
1,19,4,Renegade,Golden Tempo,Litmus Test,0.0519,0.0133,5849.5404,synth,3.8926,2.0362
1,4,19,Renegade,Litmus Test,Golden Tempo,0.0517,0.0133,5849.5404,synth,3.8803,2.0267
18,19,11,Further Ado,Golden Tempo,Incredibolt,0.0517,0.0133,5849.5404,synth,3.8781,2.0249
18,19,1,Further Ado,Golden Tempo,Renegade,0.1913,0.0495,1574.8763,synth,3.8616,2.012
3,18,1,Intrepido,Further Ado,Renegade,0.0916,0.0238,3272.256,synth,3.8449,1.999
18,14,19,Further Ado,Potente,Golden Tempo,0.0706,0.0185,4219.3562,synth,3.8213,1.9806
1,18,3,Renegade,Further Ado,Intrepido,0.1131,0.0297,2630.3165,synth,3.8142,1.9751
18,1,19,Further Ado,Renegade,Golden Tempo,0.2083,0.0547,1424.7548,synth,3.8049,1.9678
18,11,19,Further Ado,Incredibolt,Golden Tempo,0.0501,0.0133,5849.5404,synth,3.7565,1.9301
19,18,14,Golden Tempo,Further Ado,Potente,0.0627,0.0167,4668.3123,synth,3.755,1.9289
18,4,14,Further Ado,Litmus Test,Potente,0.0683,0.0182,4274.6641,synth,3.7424,1.919
18,3,15,Further Ado,Intrepido,Emerging Market,0.0682,0.0185,4220.3755,synth,3.6901,1.8783
19,18,1,Golden Tempo,Further Ado,Renegade,0.1672,0.0454,1719.9045,synth,3.6867,1.8756
